5258.0,471.0,2467.0,1697.0,3946.0,480.0,543.0,828.0,3592.0,287.0,147.0,1160.0,1634.0,2762.0,4708.0,1764.0,55.0,4735.0,2544.0,1665.0,1276.0,551.0,125.0,136.0,692.0,148.0,236.0,323.0,61.0,424.0,32.0,10.0
471.0,90.0,258.0,152.0,378.0,40.0,47.0,58.0,305.0,15.0,13.0,105.0,158.0,250.0,451.0,135.0,6.0,457.0,228.0,158.0,114.0,48.0,10.0,2.0,62.0,13.0,18.0,27.0,4.0,39.0,5.0,0.0
2467.0,258.0,1469.0,861.0,1992.0,251.0,278.0,357.0,1833.0,104.0,69.0,549.0,812.0,1356.0,2557.0,889.0,37.0,2477.0,1223.0,862.0,615.0,276.0,70.0,47.0,349.0,103.0,119.0,166.0,20.0,220.0,16.0,2.0
1697.0,152.0,861.0,746.0,1392.0,162.0,192.0,286.0,1236.0,59.0,54.0,399.0,570.0,883.0,1744.0,604.0,18.0,1590.0,824.0,576.0,427.0,174.0,47.0,50.0,245.0,70.0,65.0,102.0,15.0,130.0,11.0,7.0
3946.0,378.0,1992.0,1392.0,3712.0,428.0,425.0,675.0,2817.0,167.0,91.0,935.0,1344.0,2296.0,3901.0,1392.0,56.0,3842.0,2099.0,1479.0,1027.0,440.0,121.0,119.0,574.0,120.0,160.0,217.0,52.0,343.0,24.0,11.0
480.0,40.0,251.0,162.0,428.0,79.0,55.0,71.0,367.0,20.0,10.0,103.0,169.0,292.0,481.0,174.0,5.0,494.0,234.0,188.0,123.0,47.0,14.0,20.0,63.0,18.0,20.0,30.0,6.0,47.0,3.0,0.0
543.0,47.0,278.0,192.0,425.0,55.0,92.0,83.0,430.0,26.0,19.0,137.0,182.0,299.0,544.0,179.0,5.0,507.0,275.0,172.0,135.0,67.0,32.0,13.0,77.0,16.0,28.0,40.0,6.0,39.0,2.0,1.0
828.0,58.0,357.0,286.0,675.0,71.0,83.0,297.0,771.0,33.0,39.0,190.0,254.0,457.0,773.0,262.0,7.0,710.0,576.0,299.0,343.0,69.0,34.0,36.0,134.0,13.0,29.0,47.0,9.0,51.0,4.0,1.0
3592.0,305.0,1833.0,1236.0,2817.0,367.0,430.0,771.0,3196.0,147.0,131.0,815.0,1139.0,2044.0,3483.0,1237.0,48.0,3393.0,2040.0,1283.0,1113.0,372.0,158.0,100.0,522.0,114.0,180.0,224.0,47.0,297.0,17.0,4.0
287.0,15.0,104.0,59.0,167.0,20.0,26.0,33.0,147.0,44.0,6.0,57.0,68.0,134.0,192.0,104.0,0.0,218.0,134.0,61.0,58.0,30.0,4.0,7.0,23.0,3.0,20.0,23.0,2.0,28.0,1.0,0.0
147.0,13.0,69.0,54.0,91.0,10.0,19.0,39.0,131.0,6.0,19.0,42.0,39.0,64.0,154.0,48.0,1.0,109.0,86.0,40.0,44.0,19.0,3.0,5.0,19.0,3.0,4.0,12.0,1.0,10.0,0.0,0.0
1160.0,105.0,549.0,399.0,935.0,103.0,137.0,190.0,815.0,57.0,42.0,371.0,364.0,580.0,1088.0,412.0,12.0,1025.0,610.0,360.0,301.0,126.0,45.0,22.0,144.0,30.0,43.0,61.0,15.0,96.0,6.0,4.0
1634.0,158.0,812.0,570.0,1344.0,169.0,182.0,254.0,1139.0,68.0,39.0,364.0,623.0,925.0,1597.0,559.0,16.0,1576.0,800.0,570.0,389.0,175.0,57.0,33.0,237.0,55.0,67.0,101.0,14.0,133.0,14.0,5.0
2762.0,250.0,1356.0,883.0,2296.0,292.0,299.0,457.0,2044.0,134.0,64.0,580.0,925.0,1733.0,2592.0,939.0,27.0,2561.0,1378.0,978.0,691.0,292.0,94.0,78.0,379.0,74.0,137.0,180.0,33.0,250.0,16.0,4.0
