127.0,93.0,130.0,84.0,86.0,46.0,115.0,43.0,32.0,47.0,24.0,53.0,72.0,17.0,35.0,29.0,61.0,81.0,52.0,34.0,93.0,54.0,28.0,30.0,20.0,44.0,52.0,35.0,7.0,14.0,25.0,32.0,22.0,80.0,45.0,17.0,46.0,9.0,53.0,15.0,16.0,9.0,26.0,56.0,7.0,31.0,14.0,47.0,56.0,32.0,58.0,8.0,22.0,11.0,10.0,30.0,20.0,15.0,16.0,16.0,104.0,48.0,20.0,40.0,12.0,14.0
93.0,200.0,182.0,109.0,92.0,53.0,165.0,49.0,30.0,76.0,36.0,76.0,103.0,22.0,49.0,56.0,85.0,122.0,70.0,45.0,133.0,71.0,64.0,55.0,32.0,58.0,68.0,55.0,15.0,25.0,42.0,41.0,27.0,106.0,80.0,24.0,68.0,13.0,83.0,21.0,28.0,14.0,39.0,98.0,10.0,51.0,26.0,98.0,88.0,38.0,76.0,16.0,40.0,17.0,23.0,37.0,28.0,24.0,19.0,25.0,115.0,71.0,37.0,80.0,26.0,13.0
130.0,182.0,580.0,222.0,202.0,120.0,355.0,74.0,70.0,195.0,85.0,138.0,194.0,44.0,97.0,124.0,160.0,227.0,147.0,69.0,234.0,159.0,149.0,141.0,58.0,126.0,173.0,128.0,33.0,70.0,82.0,81.0,44.0,195.0,202.0,42.0,87.0,32.0,170.0,30.0,30.0,44.0,88.0,185.0,28.0,81.0,68.0,215.0,158.0,84.0,142.0,39.0,121.0,57.0,38.0,54.0,52.0,43.0,35.0,66.0,303.0,159.0,70.0,158.0,47.0,39.0
84.0,109.0,222.0,192.0,111.0,67.0,155.0,56.0,44.0,66.0,34.0,80.0,112.0,22.0,50.0,39.0,94.0,119.0,70.0,36.0,128.0,74.0,48.0,53.0,26.0,40.0,64.0,54.0,13.0,17.0,28.0,44.0,19.0,99.0,72.0,21.0,65.0,14.0,71.0,16.0,21.0,10.0,43.0,81.0,13.0,51.0,21.0,81.0,89.0,29.0,73.0,17.0,41.0,12.0,16.0,24.0,18.0,18.0,13.0,27.0,127.0,75.0,32.0,78.0,12.0,21.0
86.0,92.0,202.0,111.0,233.0,93.0,206.0,60.0,48.0,82.0,39.0,83.0,117.0,41.0,67.0,66.0,80.0,140.0,80.0,45.0,157.0,82.0,101.0,70.0,39.0,57.0,89.0,69.0,14.0,32.0,44.0,35.0,31.0,121.0,92.0,26.0,58.0,19.0,85.0,23.0,23.0,24.0,45.0,89.0,18.0,55.0,30.0,123.0,99.0,38.0,74.0,21.0,40.0,18.0,20.0,32.0,41.0,32.0,29.0,30.0,150.0,72.0,47.0,69.0,22.0,17.0
46.0,53.0,120.0,67.0,93.0,93.0,126.0,35.0,26.0,64.0,11.0,47.0,65.0,18.0,44.0,28.0,45.0,66.0,42.0,25.0,92.0,56.0,60.0,46.0,22.0,34.0,43.0,38.0,5.0,10.0,20.0,24.0,22.0,62.0,59.0,24.0,33.0,21.0,54.0,18.0,17.0,11.0,35.0,53.0,13.0,29.0,24.0,69.0,51.0,26.0,38.0,13.0,28.0,13.0,11.0,20.0,19.0,17.0,10.0,14.0,88.0,50.0,23.0,60.0,9.0,14.0
115.0,165.0,355.0,155.0,206.0,126.0,540.0,88.0,71.0,161.0,58.0,149.0,194.0,49.0,105.0,112.0,127.0,233.0,139.0,67.0,244.0,154.0,145.0,129.0,54.0,118.0,154.0,115.0,20.0,76.0,95.0,94.0,44.0,194.0,178.0,60.0,78.0,32.0,128.0,36.0,49.0,29.0,73.0,162.0,31.0,80.0,67.0,194.0,157.0,84.0,138.0,41.0,101.0,40.0,45.0,53.0,57.0,53.0,40.0,82.0,221.0,139.0,72.0,130.0,53.0,42.0
43.0,49.0,74.0,56.0,60.0,35.0,88.0,72.0,34.0,25.0,18.0,40.0,54.0,10.0,28.0,16.0,44.0,58.0,36.0,17.0,58.0,30.0,20.0,17.0,13.0,31.0,29.0,13.0,4.0,11.0,10.0,19.0,16.0,50.0,31.0,11.0,29.0,7.0,20.0,9.0,11.0,8.0,14.0,38.0,3.0,28.0,8.0,32.0,41.0,20.0,33.0,5.0,13.0,5.0,7.0,16.0,12.0,9.0,7.0,17.0,64.0,37.0,19.0,26.0,5.0,5.0
32.0,30.0,70.0,44.0,48.0,26.0,71.0,34.0,51.0,22.0,14.0,31.0,40.0,9.0,19.0,7.0,35.0,39.0,26.0,12.0,46.0,24.0,17.0,17.0,10.0,24.0,18.0,21.0,3.0,10.0,9.0,12.0,13.0,36.0,26.0,8.0,15.0,5.0,16.0,4.0,6.0,7.0,11.0,23.0,4.0,14.0,5.0,26.0,22.0,17.0,31.0,3.0,11.0,8.0,5.0,8.0,8.0,6.0,9.0,11.0,56.0,26.0,14.0,22.0,5.0,8.0
47.0,76.0,195.0,66.0,82.0,64.0,161.0,25.0,22.0,156.0,30.0,52.0,83.0,19.0,44.0,63.0,72.0,99.0,61.0,30.0,95.0,86.0,105.0,75.0,27.0,65.0,75.0,62.0,11.0,34.0,45.0,31.0,19.0,108.0,106.0,27.0,39.0,19.0,88.0,18.0,13.0,19.0,47.0,103.0,15.0,39.0,38.0,104.0,100.0,55.0,67.0,17.0,53.0,23.0,20.0,27.0,41.0,25.0,18.0,16.0,126.0,72.0,42.0,68.0,29.0,22.0
