file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,c3,char,3,63,1446,5268
s0_hi2.txt,s0hi2,c3,char,3,44,1195,3507
s0_hi3.txt,s0hi3,c3,char,3,50,1294,4231
s0_hi4.txt,s0hi4,c3,char,3,56,1257,4433
s0_hi5.txt,s0hi5,c3,char,3,49,1217,3851
s0_l1.txt,s0l1,c3,char,3,56,1258,4125
s0_l2.txt,s0l2,c3,char,3,56,1222,4438
s0_l3.txt,s0l3,c3,char,3,56,1152,4256
s0_l4.txt,s0l4,c3,char,3,56,1159,4608
s0_l4a.txt,s0l4a,c3,char,3,41,1064,3618
s0_l4b.txt,s0l4b,c3,char,3,42,1103,3333
s0_l5.txt,s0l5,c3,char,3,55,1245,4476
s0_no2.txt,s0no2,c3,char,3,66,1342,4263
s0_no3.txt,s0no3,c3,char,3,50,1256,3809
s0_no4.txt,s0no4,c3,char,3,35,1093,3262
s0_no5.txt,s0no5,c3,char,3,40,1299,4159
s0_no6.txt,s0no6,c3,char,3,76,1284,4069
s0_nopa1.txt,s0nopa1,c3,char,3,46,1247,3579
s0_nopa2a.txt,s0nopa2a,c3,char,3,49,1270,3925
s0_nopa2b.txt,s0nopa2b,c3,char,3,59,1357,4302
s0_nopa3.txt,s0nopa3,c3,char,3,33,1197,3239
s0_nopa3b.txt,s0nopa3b,c3,char,3,40,1190,3223
s0_s0.txt,s0s0,c3,char,3,56,1001,4888
