file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,c5,char,5,63,3288,5142
s0_hi2.txt,s0hi2,c5,char,5,44,2321,3419
s0_hi3.txt,s0hi3,c5,char,5,50,2734,4131
s0_hi4.txt,s0hi4,c5,char,5,56,2611,4321
s0_hi5.txt,s0hi5,c5,char,5,49,2484,3753
s0_l1.txt,s0l1,c5,char,5,56,2605,4013
s0_l2.txt,s0l2,c5,char,5,56,2566,4326
s0_l3.txt,s0l3,c5,char,5,56,2361,4144
s0_l4.txt,s0l4,c5,char,5,56,2325,4496
s0_l4a.txt,s0l4a,c5,char,5,41,2013,3536
s0_l4b.txt,s0l4b,c5,char,5,42,2083,3249
s0_l5.txt,s0l5,c5,char,5,55,2597,4366
s0_no2.txt,s0no2,c5,char,5,66,2910,4131
s0_no3.txt,s0no3,c5,char,5,50,2559,3709
s0_no4.txt,s0no4,c5,char,5,35,2145,3192
s0_no5.txt,s0no5,c5,char,5,40,2792,4079
s0_no6.txt,s0no6,c5,char,5,76,2712,3917
s0_nopa1.txt,s0nopa1,c5,char,5,46,2487,3487
s0_nopa2a.txt,s0nopa2a,c5,char,5,49,2589,3827
s0_nopa2b.txt,s0nopa2b,c5,char,5,59,2861,4184
s0_nopa3.txt,s0nopa3,c5,char,5,33,2328,3173
s0_nopa3b.txt,s0nopa3b,c5,char,5,40,2299,3143
s0_s0.txt,s0s0,c5,char,5,56,1760,4776
