file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,p3,word,3,63,642,656
s0_hi2.txt,s0hi2,p3,word,3,44,427,431
s0_hi3.txt,s0hi3,p3,word,3,50,526,531
s0_hi4.txt,s0hi4,p3,word,3,56,506,535
s0_hi5.txt,s0hi5,p3,word,3,49,471,476
s0_l1.txt,s0l1,p3,word,3,56,515,527
s0_l2.txt,s0l2,p3,word,3,56,548,564
s0_l3.txt,s0l3,p3,word,3,56,495,531
s0_l4.txt,s0l4,p3,word,3,56,489,589
s0_l4a.txt,s0l4a,p3,word,3,41,392,463
s0_l4b.txt,s0l4b,p3,word,3,42,405,423
s0_l5.txt,s0l5,p3,word,3,55,524,554
s0_no2.txt,s0no2,p3,word,3,66,513,515
s0_no3.txt,s0no3,p3,word,3,50,467,469
s0_no4.txt,s0no4,p3,word,3,35,409,412
s0_no5.txt,s0no5,p3,word,3,40,528,530
s0_no6.txt,s0no6,p3,word,3,76,468,471
s0_nopa1.txt,s0nopa1,p3,word,3,46,451,453
s0_nopa2a.txt,s0nopa2a,p3,word,3,49,490,496
s0_nopa2b.txt,s0nopa2b,p3,word,3,59,529,534
s0_nopa3.txt,s0nopa3,p3,word,3,33,425,427
s0_nopa3b.txt,s0nopa3b,p3,word,3,40,411,413
s0_s0.txt,s0s0,p3,word,3,56,308,620
