file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,c2,char,2,63,355,5331
s0_hi2.txt,s0hi2,c2,char,2,44,337,3551
s0_hi3.txt,s0hi3,c2,char,2,50,333,4281
s0_hi4.txt,s0hi4,c2,char,2,56,343,4489
s0_hi5.txt,s0hi5,c2,char,2,49,337,3900
s0_l1.txt,s0l1,c2,char,2,56,336,4181
s0_l2.txt,s0l2,c2,char,2,56,331,4494
s0_l3.txt,s0l3,c2,char,2,56,324,4312
s0_l4.txt,s0l4,c2,char,2,56,323,4664
s0_l4a.txt,s0l4a,c2,char,2,41,311,3659
s0_l4b.txt,s0l4b,c2,char,2,42,321,3375
s0_l5.txt,s0l5,c2,char,2,55,334,4531
s0_no2.txt,s0no2,c2,char,2,66,344,4329
s0_no3.txt,s0no3,c2,char,2,50,336,3859
s0_no4.txt,s0no4,c2,char,2,35,319,3297
s0_no5.txt,s0no5,c2,char,2,40,338,4199
s0_no6.txt,s0no6,c2,char,2,76,340,4145
s0_nopa1.txt,s0nopa1,c2,char,2,46,333,3625
s0_nopa2a.txt,s0nopa2a,c2,char,2,49,332,3974
s0_nopa2b.txt,s0nopa2b,c2,char,2,59,345,4361
s0_nopa3.txt,s0nopa3,c2,char,2,33,335,3272
s0_nopa3b.txt,s0nopa3b,c2,char,2,40,335,3263
s0_s0.txt,s0s0,c2,char,2,56,309,4944
