file,stem_clean,tokenization,mode,n,n_oraciones,vocab_size,total_tokens
s0_hi1.txt,s0hi1,p5,word,5,63,530,530
s0_hi2.txt,s0hi2,p5,word,5,44,343,343
s0_hi3.txt,s0hi3,p5,word,5,50,433,433
s0_hi4.txt,s0hi4,p5,word,5,56,414,423
s0_hi5.txt,s0hi5,p5,word,5,49,378,378
s0_l1.txt,s0l1,p5,word,5,56,417,417
s0_l2.txt,s0l2,p5,word,5,56,453,453
s0_l3.txt,s0l3,p5,word,5,56,410,419
s0_l4.txt,s0l4,p5,word,5,56,431,478
s0_l4a.txt,s0l4a,p5,word,5,41,350,381
s0_l4b.txt,s0l4b,p5,word,5,42,335,340
s0_l5.txt,s0l5,p5,word,5,55,437,444
s0_no2.txt,s0no2,p5,word,5,66,395,395
s0_no3.txt,s0no3,p5,word,5,50,369,369
s0_no4.txt,s0no4,p5,word,5,35,342,342
s0_no5.txt,s0no5,p5,word,5,40,450,450
s0_no6.txt,s0no6,p5,word,5,76,334,334
s0_nopa1.txt,s0nopa1,p5,word,5,46,367,367
s0_nopa2a.txt,s0nopa2a,p5,word,5,49,398,398
s0_nopa2b.txt,s0nopa2b,p5,word,5,59,416,416
s0_nopa3.txt,s0nopa3,p5,word,5,33,364,364
s0_nopa3b.txt,s0nopa3b,p5,word,5,40,336,336
s0_s0.txt,s0s0,p5,word,5,56,254,508
